주파수,0.05,0.1,0.2,0.4,0.8,1.6,3.2,6.4,12.8,25.6,51.2,102.4,204.8
roll off,12,,,,,,,,,,,,
시간상수,,,,,,,,,,,,,
0.03,,1.98,1.98,1.96,1.94,1.78,1.34,0.71,0.24,0.06,0.01,0.0024,
,,0.01,0.01,0.01,0.01,0.01,0.01,1,5,5,5,1.6,
0.1,,1.98,1.94,1.86,1.56,0.96,0.384,0.109,0.024,0.018,0.018,0.018,
,,0.01,0.01,0.01,0.01,1,1,3,0.8,1,1,1,
0.3,1.96,1.9,1.68,1.14,0.512,0.156,0.0376,0.042,0.0018,0.0018,0.0018,0.0018,
roll off,6,0.01,0.01,0.01,1,1,0.1,2.2,1,1,1,1,
시간 상수,,,,,,,,,,,,,
0.03,,1.98,1.98,1.98,1.96,1.86,1.62,1.16,0.696,0.356,0.16,0.059,0.0018
,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1,1,1,4,1
0.1,,1.98,1.98,1.92,1.74,1.36,0.872,0.464,0.234,0.114,0.05,0.015,
,,0.01,0.01,0.01,0.01,0.01,1,1,2,2,1,2,
0.3,1.98,1.94,1.82,1.5,1,0.586,0.288,0.144,0.07,0.03,0.011,0.0018,
,,0.01,0.01,0.01,0.01,1,1,1,2,2,2,1,
,,0.01V,1mV,5mV,2mV,,,,,,,,
