X,Y,Std
1.00,10.33333333,3.299831646
1.20,9.666666667,2.624669291
1.40,15.33333333,5.734883511
1.60,23,1.414213562
1.80,21.33333333,1.247219129
2.00,32.33333333,3.771236166
2.20,39.66666667,3.091206165
2.40,45.66666667,7.586537784
2.60,49.66666667,8.013876853
2.80,64.66666667,1.247219129
3.00,68.66666667,12.97005097
3.20,72.66666667,4.027681991
3.40,73.66666667,1.699673171
3.60,74.66666667,7.363574011
3.80,79,5.715476066
4.00,82.33333333,8.339997335
4.20,76.33333333,11.61416759
4.40,71.66666667,10.33870828
4.60,74.33333333,4.027681991
4.80,68,5.715476066
5.00,60,5.656854249
5.20,56.33333333,6.599663291
5.40,43,3.559026084
5.60,38.66666667,3.771236166
5.80,35.66666667,8.730533902
6.00,29,3.741657387
6.20,19,3.265986324
6.40,16.33333333,4.988876516
6.60,11,2.449489743
6.80,11.33333333,2.624669291
7.00,9,3.559026084
