X,Y
1.00,19
1.10,24
1.20,27
1.30,28
1.40,28
1.50,31
1.60,40
1.70,61
1.80,90
1.90,128
2.00,169
2.10,207
2.20,240
2.30,267
2.40,282
2.50,302
2.60,333
2.70,381
2.80,460
2.90,539
3.00,621
3.10,706
3.20,775
3.30,829
3.40,860
3.50,888
3.60,908
3.70,933
3.80,972
3.90,1031
4.00,1091
4.10,1149
4.20,1213
4.30,1259
4.40,1291
4.50,1299
4.60,1287
4.70,1261.00
4.80,1224.00
4.90,1195
5.00,1169
5.10,1152
5.20,1139
5.30,1127
5.40,1111
5.50,1083
5.60,1047
5.70,991
5.80,919
5.90,849
6.00,777
6.10,707
6.20,642
6.30,585
6.40,535
6.50,491
6.60,449
6.70,405
6.80,365
6.90,321
7.00,275
7.10,230
7.20,191
7.30,151
7.40,119
7.50,91
7.60,71
7.70,54
7.80,42
7.90,33
8.00,26
8.10,20
8.20,17
8.30,13
8.40,12
8.50,12
